month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2021-05-01,A DIVISION,6,1,1883,1829,97.132236
2021-05-01,A DIVISION,6,2,1150,1016,88.34783
2021-05-01,A DIVISION,7,1,2536,2358,92.98107
2021-05-01,A DIVISION,7,2,1479,1219,82.42055
2021-05-01,A DIVISION,S 42nd,2,1466,1452,99.04502
2021-05-01,A DIVISION,S 42nd,1,1837,1828,99.510074
2021-05-01,B DIVISION,A,2,1811,1430,78.961897
2021-05-01,B DIVISION,A,1,2320,2048,88.27586
2021-05-01,B DIVISION,B,1,1522,1350,88.69908
2021-05-01,B DIVISION,C,1,1069,1001,93.638915
2021-05-01,B DIVISION,C,2,1220,1035,84.836066
2021-05-01,B DIVISION,D,2,1500,1456,97.066665
2021-05-01,B DIVISION,D,1,1604,1484,92.518705
2021-05-01,B DIVISION,E,2,680,513,75.441176
2021-05-01,B DIVISION,E,1,1432,1349,94.203913
2021-05-01,B DIVISION,F,1,2660,2443,91.842103
2021-05-01,B DIVISION,F,2,1550,1341,86.51613
2021-05-01,B DIVISION,G,1,841,803,95.48157
2021-05-01,B DIVISION,G,2,1842,1823,98.96851
2021-05-01,B DIVISION,JZ,2,668,654,97.904193
2021-05-01,B DIVISION,JZ,1,925,889,96.10811
2021-05-01,B DIVISION,L,2,1971,1944,98.630136
2021-05-01,B DIVISION,L,1,1793,1762,98.271054
2021-05-01,B DIVISION,M,2,531,521,98.11676
2021-05-01,B DIVISION,M,1,1646,1534,93.195623
2021-05-01,B DIVISION,N,1,1647,1521,92.349726
2021-05-01,B DIVISION,N,2,1377,1184,85.98402
2021-05-01,B DIVISION,Q,1,1848,1660,89.82684
2021-05-01,B DIVISION,Q,2,2194,2033,92.661804
2021-05-01,B DIVISION,R,1,1866,1715,91.907823
2021-05-01,B DIVISION,R,2,1475,1237,83.86441
2021-05-01,B DIVISION,S Fkln,1,684,684,100
2021-05-01,B DIVISION,S Fkln,2,846,808,95.50827
2021-05-01,B DIVISION,S Rock,1,388,382,98.45361
2021-05-01,B DIVISION,S Rock,2,205,201,98.04878
2021-05-01,B DIVISION,W,1,727,634,87.207705
2021-05-01,Systemwide,Systemwide,1,39581,37066,93.64594
2021-05-01,Systemwide,Systemwide,2,30232,27431,90.73498
2021-04-01,A DIVISION,1,1,1684,1613,95.78385
2021-04-01,A DIVISION,1,2,941,886,94.155157
2021-04-01,A DIVISION,2,2,1242,1140,91.78744
2021-04-01,A DIVISION,2,1,2309,2245,97.228235
2021-04-01,A DIVISION,3,2,1225,1138,92.89796
2021-04-01,A DIVISION,3,1,2166,2089,96.44506
2021-04-01,A DIVISION,4,2,1556,1458,93.7018
2021-04-01,A DIVISION,4,1,2983,2814,94.33456
2021-04-01,A DIVISION,5,1,2640,2483,94.05303
2021-04-01,A DIVISION,5,2,937,922,98.399144
2021-04-01,A DIVISION,6,2,906,847,93.48786
2021-04-01,A DIVISION,6,1,2192,2099,95.7573
2021-04-01,A DIVISION,7,1,2890,2708,93.702424
2021-04-01,A DIVISION,7,2,1099,1079,98.18016
2021-04-01,A DIVISION,S 42nd,1,2121,2105,99.24564
2021-04-01,A DIVISION,S 42nd,2,1224,1190,97.22222
2021-04-01,B DIVISION,A,1,2759,2564,92.932224
2021-04-01,B DIVISION,A,2,1459,1401,96.024674
2021-04-01,B DIVISION,B,1,1744,1680,96.330273
2021-04-01,B DIVISION,C,1,1246,1221,97.993577
2021-04-01,B DIVISION,C,2,1235,1193,96.59919
2021-04-01,B DIVISION,D,2,615,606,98.536587
2021-04-01,B DIVISION,D,1,1927,1880,97.56098
2021-04-01,B DIVISION,E,2,630,624,99.04762
2021-04-01,B DIVISION,E,1,1677,1647,98.21109
2021-04-01,B DIVISION,F,2,1220,1031,84.5082
2021-04-01,B DIVISION,F,1,1878,1865,99.307775
2021-04-01,B DIVISION,G,2,1488,1478,99.32796
2021-04-01,B DIVISION,G,1,944,941,99.682206
2021-04-01,B DIVISION,JZ,2,700,686,98
2021-04-01,B DIVISION,JZ,1,1076,1060,98.513013
2021-04-01,B DIVISION,L,2,1558,1526,97.946084
2021-04-01,B DIVISION,L,1,2026,1991,98.27246
2021-04-01,B DIVISION,M,1,1921,1834,95.47111
2021-04-01,B DIVISION,N,2,1224,1199,97.957516
2021-04-01,B DIVISION,N,1,1877,1811,96.48375
2021-04-01,B DIVISION,Q,2,1752,1684,96.118724
2021-04-01,B DIVISION,Q,1,2207,2106,95.42365
2021-04-01,B DIVISION,R,1,2076,1973,95.038533
2021-04-01,B DIVISION,R,2,1010,972,96.237624
2021-04-01,B DIVISION,S Fkln,1,774,772,99.7416
2021-04-01,B DIVISION,S Fkln,2,682,682,100
2021-04-01,B DIVISION,S Rock,2,441,438,99.319726
2021-04-01,B DIVISION,S Rock,1,435,440,101.14943
2021-04-01,B DIVISION,W,1,831,760,91.45608
2021-04-01,Systemwide,Systemwide,2,23144,22180,95.834774
2021-04-01,Systemwide,Systemwide,1,44383,42701,96.21026
2021-03-01,A DIVISION,1,1,1858,1766,95.04844
2021-03-01,A DIVISION,1,2,792,747,94.31818
2021-03-01,A DIVISION,2,2,1288,1246,96.73913
2021-03-01,A DIVISION,2,1,2361,2216,93.858534
2021-03-01,A DIVISION,3,1,2274,2160,94.98681
2021-03-01,A DIVISION,3,2,1075,983,91.44186
2021-03-01,A DIVISION,4,1,3143,2910,92.5867
2021-03-01,A DIVISION,4,2,1616,1538,95.17327
2021-03-01,A DIVISION,5,2,893,857,95.968646
2021-03-01,A DIVISION,5,1,2809,2589,92.168033
2021-03-01,A DIVISION,6,2,830,764,92.04819
2021-03-01,A DIVISION,6,1,2281,2154,94.432265
2021-03-01,A DIVISION,7,1,2955,2839,96.07445
2021-03-01,A DIVISION,7,2,885,865,97.740114
2021-03-01,A DIVISION,S 42nd,1,2171,2171,100
2021-03-01,A DIVISION,S 42nd,2,1003,1003,100
2021-03-01,B DIVISION,A,1,2769,2539,91.693753
2021-03-01,B DIVISION,A,2,1259,1200,95.31374
2021-03-01,B DIVISION,B,1,1860,1723,92.63441
2021-03-01,B DIVISION,C,1,1285,1229,95.642024
2021-03-01,B DIVISION,C,2,1085,1039,95.76037
2021-03-01,B DIVISION,D,2,1070,1035,96.728975
2021-03-01,B DIVISION,D,1,1991,1924,96.63486
2021-03-01,B DIVISION,E,1,1772,1731,97.68623
2021-03-01,B DIVISION,F,1,1939,1898,97.88551
2021-03-01,B DIVISION,G,2,1296,1284,99.07407
2021-03-01,B DIVISION,G,1,1012,995,98.320156
2021-03-01,B DIVISION,JZ,2,605,593,98.01653
2021-03-01,B DIVISION,JZ,1,1125,1091,96.977776
2021-03-01,B DIVISION,L,1,2117,2036,96.17383
2021-03-01,B DIVISION,L,2,896,880,98.214287
2021-03-01,B DIVISION,M,1,2003,1907,95.20719
2021-03-01,B DIVISION,M,2,639,637,99.68701
2021-03-01,B DIVISION,N,1,2003,1924,96.05592
2021-03-01,B DIVISION,N,2,1090,1083,99.357796
2021-03-01,B DIVISION,Q,2,1341,1332,99.32886
2021-03-01,B DIVISION,Q,1,2266,2144,94.61606
2021-03-01,B DIVISION,R,2,1005,1001,99.60199
2021-03-01,B DIVISION,R,1,2219,2127,95.85399
2021-03-01,B DIVISION,S Fkln,1,792,792,100
2021-03-01,B DIVISION,S Fkln,2,603,603,100
